Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
Ruddy Shelduck,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Garganey,8,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Northern Shoveler,14,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gadwall,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Wigeon,6,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Spot-billed Duck,31,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Green-winged Teal,11,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Pochard,8,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Peafowl,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gray Francolin,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black Francolin,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Calling, well camouflage in  bushes/reeds"
Rock Pigeon (Feral Pigeon),33,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Collared-Dove,25,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red Collared-Dove,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Laughing Dove,17,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Yellow-footed Green-Pigeon,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Greater Coucal,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Swift,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Moorhen,17,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Coot,89,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gray-headed Swamphen,16,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White-breasted Waterhen,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black-winged Stilt,40,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Ringed Plover,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red-wattled Lapwing,32,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White-tailed Lapwing,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
Kentish Plover,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
Common Snipe,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Sandpiper,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Green Sandpiper,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Marsh Sandpiper,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Greenshank,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Ruff,40,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Temminck's Stint,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Stint,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black-headed Gull,16,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Flying, foraging"
Brown-headed Gull,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Flying
Pallas's Gull,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Flying
Little Grebe,20,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Painted Stork,6,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Cormorant,208,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Great Cormorant,30,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Cormorant,54,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Glossy Ibis,12,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black-headed Ibis,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Little Egret,7,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Pond-Heron,13,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eastern Cattle-Egret,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Great Egret,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Medium Egret,20,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Gray Heron,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Purple Heron,12,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Great White Pelican,9,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Flock of 9 birds
Black-winged Kite,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Booted Eagle,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Flying, mocked by crow"
Shikra,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Black Kite,7,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Hoopoe,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Asian Green Bee-eater,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Kingfisher,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
White-throated Kingfisher,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Pied Kingfisher,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Roller,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Eurasian Wryneck,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Rose-ringed Parakeet,18,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Plum-headed Parakeet,6,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Cuckooshrike,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Perched on tree
Black Drongo,24,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Isabelline Shrike,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Perching
Long-tailed Shrike,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Rufous Treepie,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
House Crow,34,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Tailorbird,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Jungle Prinia,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Foraging, singing"
Ashy Prinia,6,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Plain Prinia,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Clamorous Reed Warbler,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,"Singing, flying"
Dusky Crag-Martin,23,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Wire-tailed Swallow,18,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red-vented Bulbul,11,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White-eared Bulbul,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Sulphur-bellied Warbler,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Chiffchaff,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Greenish Warbler,1,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Lesser Whitethroat,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian White-eye,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Flying & foraging
Large Gray Babbler,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Jungle Babbler,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Babbler,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Rosy Starling,7,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Pied Starling,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Brahminy Starling,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Common Myna,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Bank Myna,25,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Robin,13,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Bluethroat,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Siberian Stonechat,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Pied Bushchat,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Purple Sunbird,3,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Indian Silverbill,4,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Red Avadavat,8,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,Foraging
House Sparrow,5,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Western Yellow Wagtail,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Citrine Wagtail,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
White Wagtail,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
Paddyfield Pipit,2,Kanota Dam,Traveling,"Feb 9, 2025",8:09 AM,"3 hour(s), 24 minute(s)",10.01 kilometer(s),,,3,TRUE,106 species,
